undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586
,SMR,WesternDem,42664.211,0.034000001847744,,,2.383729934692383,
0.414,MOZ,SubSaharian,852.39001,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266
0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,
0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
0.48800001,SDN,SubSaharian,,,8.800000190734863,,,
,NRU,Pacific,3130.47,0.0120000001043081,,,,71.94534301757812
0.86500001,GRC,WesternDem,25295.27,10.92700004577637,3.799999952316284,2.999258995056152,,95.0673828125
0.414,GIN,SubSaharian,993.83002,11.74499988555908,7.199999809265137,2.425785064697266,3.208169937133789,31.78817939758301
0.57599998,ZMB,SubSaharian,1916.79,,7.800000190734863,4.328835487365723,,
0.39899999,BFA,SubSaharian,1095.96,16.5,6.900000095367432,2.868712186813355,4.60476016998291,26.4928092956543
0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.400000095367432,1.874972462654114,,
0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,6.300000190734863,4.464125156402588,3.278609991073608,75.01837158203125
0.75800002,MEX,Latam,13609.42,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078
0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265137,3.012430906295776,2.954190015792847,80.731201171875
0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,6.0,2.134715557098389,,
,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755127,98.2799835205078
0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,
0.421,SSD,SubSaharian,,,6.900000095367432,,1.712970018386841,
0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562
0.54799998,PAK,SouthAsia,2855.55,186.1900024414063,7.0,3.381112337112427,2.464349985122681,41.17535018920898
0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,7.5,3.17626953125,1.901970028877258,
0.764,TUR,NorthAfrica,16900.711,77.69599914550781,3.700000047683716,3.422157049179077,4.766260147094727,87.16455078125
0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,6.300000190734863,2.671667814254761,2.93011999130249,23.10231971740723
0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919922,5.096079826354981,84.2464828491211
0.495,LSO,SubSaharian,1539.79,,7.400000095367432,4.053547382354736,,35.21265029907227
0.76800001,GEO,EastEurope,7148.5698,3.730000019073486,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,7.300000190734863,2.884561777114868,,58.39226913452148
0.69800001,BWA,SubSaharian,12770.73,,5.099999904632568,3.523580312728882,,
0.85699999,AND,WesternDem,32367.33,,,,2.997809886932373,
0.58999997,COG,SubSaharian,2369.8401,,6.800000190734863,,,
0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,6.900000095367432,3.79865288734436,7.049990177154541,36.21157836914063
0.76200002,ALB,EastEurope,8516.7002,,7.099999904632568,4.111338615417481,3.539439916610718,85.27821350097656
0.72399998,COL,Latam,8761.1396,47.6619987487793,6.699999809265137,3.405907869338989,4.659409999847412,78.58606719970703
0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,
0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,5.5,3.961112499237061,,
0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265137,3.562078714370728,4.729380130767822,
0.84200001,SVK,EastEurope,21776.34,5.415999889373779,4.199999809265137,2.762844562530518,4.238560199737549,
0.773,CUB,Latam,5899.9399,,5.699999809265137,,,87.48567199707031
0.73400003,FJI,Pacific,3848.72,0.8799999952316284,7.599999904632568,,3.882889986038208,83.38211059570312
0.76200002,KNA,Caribbean,11237.75,,,,2.784240007400513,82.93193817138672
0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,4.5,5.188638210296631,6.138390064239502,94.71498107910156
0.671,BOL,Latam,4023.8701,10.07800006866455,6.400000095367432,3.348756313323975,7.285459995269775,76.53546142578125
0.792,BGR,EastEurope,13967.45,7.202000141143799,4.599999904632568,3.387006282806397,4.061970233917236,88.16580963134766
0.47299999,MWI,SubSaharian,938.34998,17.60400009155273,8.100000381469727,3.185531854629517,4.842539787292481,32.94229125976563
0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688
0.83399999,HUN,EastEurope,18310.811,9.876999855041504,3.299999952316284,3.28902006149292,4.659349918365479,92.19537353515624
0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,12.46774959564209,
0.58200002,GNQ,SubSaharian,15412.43,,6.0,,,
0.75099999,GRD,Caribbean,8314.5596,,8.399999618530273,,,82.3596420288086
0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734863,4.644126892089844,1.925660014152527,85.42613983154297
0.48800001,UGA,SubSaharian,1343.45,37.59999847412109,7.300000190734863,3.571631669998169,2.213870048522949,
0.89200002,AUT,WesternDem,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
0.498,COM,SubSaharian,972.35999,0.7760000228881836,7.800000190734863,,4.868619918823242,43.93447113037109
0.898,ISR,NorthAfrica,25926.25,8.211999893188477,,3.719112396240234,5.757269859313965,98.39215850830078
0.88200003,ESP,WesternDem,31086.35,46.45500183105469,2.400000095367432,3.441691160202026,4.27092981338501,96.4586181640625
0.62300003,HND,Latam,3303.1399,,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984
0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,,4.910830020904541,49.49629974365234
0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,6.800000190734863,2.39393949508667,4.320680141448975,44.96981811523438
0.493,RWA,SubSaharian,1440.39,10.19999980926514,7.5,4.037596225738525,3.797460079193115,27.23918914794922
0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984
0.71799999,DOM,Latam,10376.63,,7.599999904632568,2.636394500732422,,65.45761108398438
0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
0.73699999,PER,Latam,9227.1504,30.80900001525879,6.699999809265137,2.538634538650513,3.689779996871948,78.37956237792969
0.72399998,DMA,Caribbean,12613.72,,,,,86.32093048095703
0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,7.599999904632568,3.170891284942627,,56.14244842529297
0.51499999,PNG,Pacific,1693.54,6.880000114440918,7.099999904632568,,,
0.63700002,GTM,Latam,4438.0,,6.699999809265137,2.693367958068848,2.941740036010742,46.71841812133789
0.78500003,PAN,Latam,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953
0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469727,,3.780280113220215,48.75032043457031
0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,5.400000095367432,4.551487922668457,2.571190118789673,64.83651733398438
0.491,SEN,SubSaharian,1527.99,,7.400000095367432,3.760167360305786,7.396200180053711,
0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.099999904632568,2.909875631332398,4.599870204925537,
0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,3.981300115585327,59.67913055419922
0.91100001,LIE,WesternDem,102243.52,,,,2.556040048599243,91.53871917724608
0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,7.099999904632568,2.85273027420044,,
0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484
0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985596,99.57335662841795
0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.775000095367432,51.84904861450195
0.92400002,DEU,WesternDem,39486.699,80.98300170898438,2.099999904632568,5.241913795471191,4.952189922332764,
0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734863,,,92.20738220214844
0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,,,
0.662,KGZ,EastEurope,3010.24,5.894999980926514,6.400000095367432,2.853689193725586,5.527379989624023,80.17756652832031
0.82599998,ARG,Latam,15102.61,41.73300170898438,3.0,2.983357429504395,5.32548999786377,88.24600219726562
0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,8.100000381469727,,,
0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,8.600000381469727,3.891948699951172,4.99245023727417,69.1138687133789
0.347,CAF,SubSaharian,690.03998,,6.900000095367432,,1.22393000125885,13.60074996948242
0.484,TGO,SubSaharian,1036.28,6.928999900817871,7.300000190734863,,4.868460178375244,
0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,8.399999618530273,2.986086368560791,2.661669969558716,
0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
,TWN,EastAsia,33965.871,23.43400001525879,,3.908831357955933,,
0.93699998,AUS,WesternDem,38611.949,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789
0.70099998,MDA,EastEurope,4207.8701,3.555000066757202,6.400000095367432,3.163065433502197,7.467840194702148,76.86421203613281
0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.899999976158142,3.535049200057983,4.960380077362061,94.32984161376952
0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,
